,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
fixed acidity,-0.23879889743158852,0.33635453631369533,0.43430130390455085,-0.1643462136216611,-0.14748037629105604,0.20455371345171608,-0.28307943957376874,-0.40123564464023764,-0.3440566742985253,0.2812676853579437,-0.3346792663261454
volatile acidity,-0.3807574985249643,0.11754971613475584,-0.3072594204098879,-0.21278488803062853,0.1514559876559732,0.4921430724242991,-0.3891597563957917,0.08743508849643325,0.49693267511199357,-0.15217673142721483,-0.0847718097984459
citric acid,0.15238843797135598,0.1832994028070175,0.5905696738925357,0.2643003120915977,-0.15534869712389868,-0.22763379835018954,-0.381285035508782,0.2934123355743041,0.4026886759324715,-0.23446334019007578,0.0011089513633357612
residual sugar,0.3459199302264202,0.32991418088311286,-0.16468842930376298,-0.16744301489279462,-0.35336185314565954,0.23347775410013294,0.21797553630729283,0.5248729350704133,-0.10800319511356274,0.0013727732884479399,-0.4497650777507571
chlorides,-0.29011258616503655,0.31525799214060124,-0.016679104699941168,0.2447438550867506,0.6143910675233738,-0.1609763884585304,-0.04606815555841917,0.47151684951951656,-0.2964437155760927,0.1966302172335902,-0.04343758670643179
free sulfur dioxide,0.4309140076143436,0.07193259884436196,-0.13422394903552148,0.35727893856031784,0.22353229131716507,0.3400514038980542,-0.2993632462561405,-0.20780758522909187,-0.36665625887548525,-0.48024333961622784,0.0002125350523027314
total sulfur dioxide,0.4874180604274093,0.08726627817578178,-0.10746229683580516,0.2084201434611109,0.15813360926009795,0.15127721968115337,-0.13891032448393525,-0.12862131936259252,0.3206955176418544,0.7136634859498939,0.06268481309160631
density,-0.04493663657638586,0.5840373363942193,-0.1756055533659015,-0.07272495816980214,-0.30656133911163574,-0.01874306708387502,-0.0467589742702267,-0.004831136379563172,-0.11288000427335321,0.003908288688316497,0.715162072286156
pH,-0.21868644262245943,-0.15586900182120034,-0.4553241222821196,0.41455109849530264,-0.4533764283219672,-0.2965789033385724,-0.41890701570237443,0.028643276883713514,-0.12783668460964187,0.1413109774525867,-0.20636050355957428
sulphates,-0.2941351688494628,0.19171576905875787,0.07004248266013113,0.6405357100809169,-0.13657691888326706,0.2969257910706358,0.5253431097622018,-0.1658180218594321,0.20776415733848252,-0.04595949907667064,-0.0772024670689613
alcohol,-0.10643711974242928,-0.46505769157384186,0.2611005269555781,0.10680269589632203,-0.18889204005565466,0.5183777973313625,-0.10410342594405056,0.3992338874848859,-0.25189025251819563,0.20505308534191552,0.3357018783500291
